batch,instance,budget,completion_rows,method,result,seed,seconds,objective,source,timing_basis,wall_seconds,cloud_excluded_seconds
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,compact,2019-03-11_N16_C4_compact.json,0,0.08624439999402966,63.0,compact_mipsol,bp_active_excluding_cloud_call,0.08624630000122124,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,compact,2019-03-11_N16_C4_compact.json,0,0.2348058999996283,62.0,compact_mipsol,bp_active_excluding_cloud_call,0.23480800000106683,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,cim,2019-03-11_N16_C4_cim_s0.json,0,8.535986100003356,78.0,rmp_integer,bp_active_excluding_cloud_call,136.62072729999636,128.08473909999884
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,cim,2019-03-11_N16_C4_cim_s0.json,0,9.428742700001749,76.0,restricted_mip,bp_active_excluding_cloud_call,137.5134837000005,128.08473909999884
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,cim,2019-03-11_N16_C4_cim_s0.json,0,11.086716300000262,75.0,rmp_integer,bp_active_excluding_cloud_call,139.17145750000054,128.08473909999884
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,cim,2019-03-11_N16_C4_cim_s0.json,0,77.21162880000338,70.0,rmp_integer,bp_active_excluding_cloud_call,205.2963696999941,128.08473909999884
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,cim,2019-03-11_N16_C4_cim_s0.json,0,122.24007790000178,68.0,rmp_integer,bp_active_excluding_cloud_call,250.32481890000054,128.08473909999884
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,cim,2019-03-11_N16_C4_cim_s0.json,0,169.96062009999878,66.0,rmp_integer,bp_active_excluding_cloud_call,298.0453609999968,128.08473909999884
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,cim,2019-03-11_N16_C4_cim_s0.json,0,232.12574129999848,64.0,rmp_integer,bp_active_excluding_cloud_call,360.21048229999724,128.08473909999884
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,qaia_tuned,2019-03-11_N16_C4_qaia_tuned_s0.json,0,2.144328399997903,76.0,restricted_mip,bp_active_excluding_cloud_call,2.1443304999993416,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,qaia_tuned,2019-03-11_N16_C4_qaia_tuned_s0.json,0,31.49653839999519,75.0,rmp_integer,bp_active_excluding_cloud_call,31.49654020000162,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,qaia_tuned,2019-03-11_N16_C4_qaia_tuned_s0.json,0,48.721140099994955,74.0,rmp_integer,bp_active_excluding_cloud_call,48.721141900001385,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,qaia_tuned,2019-03-11_N16_C4_qaia_tuned_s0.json,0,56.97256699999707,69.0,rmp_integer,bp_active_excluding_cloud_call,56.97256870000274,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,qaia_tuned,2019-03-11_N16_C4_qaia_tuned_s0.json,0,72.15062629999738,67.0,rmp_integer,bp_active_excluding_cloud_call,72.15062790000229,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,qaia_tuned,2019-03-11_N16_C4_qaia_tuned_s0.json,0,528.2437108999948,65.0,rmp_integer,bp_active_excluding_cloud_call,528.2437127000012,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,exact,2019-03-11_N16_C4_exact_r0.json,0,1.1798371999975643,75.0,restricted_mip,bp_active_excluding_cloud_call,1.1798393999997643,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,exact,2019-03-11_N16_C4_exact_r0.json,0,10.213575699999637,74.0,rmp_integer,bp_active_excluding_cloud_call,10.213577899994561,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,exact,2019-03-11_N16_C4_exact_r0.json,0,39.55677979999746,72.0,rmp_integer,bp_active_excluding_cloud_call,39.556782199993904,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,exact,2019-03-11_N16_C4_exact_r0.json,0,55.13458289999835,71.0,rmp_integer,bp_active_excluding_cloud_call,55.13458499999979,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,exact,2019-03-11_N16_C4_exact_r0.json,0,79.72404139999708,70.0,rmp_integer,bp_active_excluding_cloud_call,79.72404399999505,0.0
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,vehicle,exact,2019-03-11_N16_C4_exact_r0.json,0,90.4408231999987,67.0,rmp_integer,bp_active_excluding_cloud_call,90.44082530000014,0.0
