batch,instance,budget,completion_rows,checkpoint,method,seed,exact_repeat,method_objective,exact_objective,delta_vs_exact,outcome
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,60.0,qaia_200_10,2,2,44.0,45.0,-1.0,method
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,60.0,greedy_4,0,0,44.0,45.0,-1.0,method
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,60.0,greedy_4,1,1,44.0,45.0,-1.0,method
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,60.0,greedy_4,2,2,44.0,45.0,-1.0,method
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,60.0,greedy_10,0,0,45.0,45.0,0.0,tie
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,60.0,greedy_10,1,1,45.0,45.0,0.0,tie
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,60.0,greedy_10,2,2,44.0,45.0,-1.0,method
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,qaia_50_4,0,0,,73.0,,exact_only
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,qaia_50_4,1,1,70.0,73.0,-3.0,method
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,qaia_50_4,2,2,70.0,73.0,-3.0,method
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,qaia_200_10,0,0,67.0,73.0,-6.0,method
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,qaia_200_10,1,1,67.0,73.0,-6.0,method
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,qaia_200_10,2,2,67.0,73.0,-6.0,method
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,greedy_4,0,0,67.0,73.0,-6.0,method
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,greedy_4,1,1,68.0,73.0,-5.0,method
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,greedy_4,2,2,69.0,73.0,-4.0,method
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,greedy_10,0,0,67.0,73.0,-6.0,method
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,greedy_10,1,1,67.0,73.0,-6.0,method
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,1.0,greedy_10,2,2,73.0,73.0,0.0,tie
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,10.0,qaia_50_4,0,0,70.0,70.0,0.0,tie
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,10.0,qaia_50_4,1,1,70.0,68.0,2.0,exact
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,10.0,qaia_50_4,2,2,70.0,68.0,2.0,exact
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,10.0,qaia_200_10,0,0,67.0,70.0,-3.0,method
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,10.0,qaia_200_10,1,1,67.0,68.0,-1.0,method
