batch,instance,budget,method,completion_rows,result,seed,status,feasible,objective,reference_optimum,deviation_percent,first_feasible_seconds,best_found_seconds,wall_seconds,graph_seconds,root_initialization_seconds,node_setup_seconds,branch_seconds,pricing_seconds,nodes_processed,root_lp,root_cg_iterations,restricted_mip_seconds,source_sha256,error
model_v3_vehicle,2019-03-05_N8_C2,60.0,qaia_50_4,vehicle,2019-03-05_N8_C2_qaia_50_4_s1.json,1,time_limit,1,44.0,44.0,0.0,0.47704460000022664,40.91354369999863,60.00518519999969,0.014338799999677576,0.08890040000005683,23.68879300000299,21.041090999997323,11.551643300015712,133,41.0,19,0.03286590000061551,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,Exact pricing: global time budget exhausted
model_v3_vehicle,2019-03-05_N8_C2,60.0,qaia_50_4,vehicle,2019-03-05_N8_C2_qaia_50_4_s2.json,2,time_limit,1,44.0,44.0,0.0,0.4401484999998502,41.58635959999992,60.02219900000091,0.011977599999227095,0.08136430000013206,23.526389099997687,21.18156889999409,11.617622700017819,131,41.0,19,0.03292700000019977,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After pricing construction: global time budget exhausted
model_v3_vehicle,2019-03-05_N8_C2,60.0,qaia_200_10,vehicle,2019-03-05_N8_C2_qaia_200_10_s2.json,2,time_limit,1,44.0,44.0,0.0,0.5584684000004927,10.4786550000008,60.148127399999794,0.023302499999772408,0.09572219999972731,23.83970280000176,20.503422899988436,12.028910000024553,145,40.99999999999997,15,0.014429099999688333,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After pricing construction: global time budget exhausted
model_v3_vehicle,2019-03-05_N8_C2,60.0,greedy_4,vehicle,2019-03-05_N8_C2_greedy_4_s2.json,2,time_limit,1,44.0,44.0,0.0,0.12098770000011427,0.7801118000006682,60.13977850000083,0.007586800000353833,0.015249000000039814,23.500459100001535,20.61024729998826,12.064964299963322,152,41.00000000000003,15,0.03318309999849589,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After pricing construction: global time budget exhausted
model_v3_vehicle,2019-03-05_N8_C2,60.0,greedy_10,vehicle,2019-03-05_N8_C2_greedy_10_s2.json,2,time_limit,1,44.0,44.0,0.0,0.12870609999845328,42.928418199999214,60.137059199998475,0.007674200000110432,0.014398700001038378,23.51212650000707,21.38592780001636,11.407197900036408,148,40.999999999999986,13,0.02073510000082024,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After branch construction: global time budget exhausted
model_v3_vehicle,2019-03-05_N8_C2,60.0,exact,vehicle,2019-03-05_N8_C2_exact_r2.json,0,time_limit,1,45.0,44.0,2.272727272727273,0.13198060000104306,0.28031210000153806,60.00622860000112,0.007367000000158441,0.014324499999929685,22.19250490000377,19.574574099991878,13.879228500018144,143,41.0,16,0.009144199999354896,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,Exact pricing: global time budget exhausted
model_v3_vehicle,2019-03-05_N12_C3,60.0,compact,vehicle,2019-03-05_N12_C3_compact.json,0,optimal,1,67.0,67.0,0.0,0.01383920000080252,0.04145530000096187,0.04383810000035737,,,,,,,,,,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vehicle,2019-03-05_N12_C3,60.0,qaia_50_4,vehicle,2019-03-05_N12_C3_qaia_50_4_s0.json,0,optimal,1,67.0,67.0,0.0,1.0508991000006063,35.9265962999998,36.05320329999995,0.1351730000005773,0.04040340000028664,15.966744799998196,14.833157000002757,3.976749400020708,62,67.0,7,0.03727430000071763,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vehicle,2019-03-05_N12_C3,60.0,qaia_200_10,vehicle,2019-03-05_N12_C3_qaia_200_10_s0.json,0,optimal,1,67.0,67.0,0.0,0.8543385999983002,0.8543385999983002,1.3199096999996982,0.08375950000117882,0.026519400000324822,0.3781732000006741,0.0,0.7635874999996304,1,67.0,8,0.02165439999953378,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vehicle,2019-03-05_N12_C3,60.0,greedy_4,vehicle,2019-03-05_N12_C3_greedy_4_s0.json,0,optimal,1,67.0,67.0,0.0,0.2951002999998309,0.302595700000893,0.3112985999996454,0.018328499998460757,0.011096899999756715,0.09361669999998412,0.0,0.16034610000133398,1,67.0,6,0.015397999999549938,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
