batch,instance,budget,completion_rows,method,result,seed,seconds,objective,source
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s1.json,1,1.1897300999989966,47.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s1.json,1,1.198644099999001,46.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s1.json,1,9.539752299999236,45.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s1.json,1,40.91354369999863,44.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s2.json,2,0.4401484999998502,49.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s2.json,2,1.0814711000002717,48.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s2.json,2,1.0936280999994779,47.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s2.json,2,1.1033131999993202,46.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s2.json,2,9.56627429999935,45.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s2.json,2,41.58635959999992,44.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s2.json,2,0.5584684000004927,49.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s2.json,2,10.4786550000008,44.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_4,2019-03-05_N8_C2_greedy_4_s2.json,2,0.12098770000011427,49.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_4,2019-03-05_N8_C2_greedy_4_s2.json,2,0.7801118000006682,44.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,0.12870609999845328,50.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,0.33030719999987923,47.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,7.438243900000089,45.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,42.928418199999214,44.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,exact,2019-03-05_N8_C2_exact_r2.json,0,0.13198060000104306,47.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,exact,2019-03-05_N8_C2_exact_r2.json,0,0.28031210000153806,45.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,compact,2019-03-05_N12_C3_compact.json,0,0.01383920000080252,68.0,compact_mipsol
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,compact,2019-03-05_N12_C3_compact.json,0,0.04145530000096187,67.0,compact_mipsol
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s0.json,0,1.0508991000006063,74.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s0.json,0,1.0670346999995672,70.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s0.json,0,29.36539079999966,69.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s0.json,0,35.9265962999998,67.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s0.json,0,0.8543385999983002,67.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,greedy_4,2019-03-05_N12_C3_greedy_4_s0.json,0,0.2951002999998309,72.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,greedy_4,2019-03-05_N12_C3_greedy_4_s0.json,0,0.302595700000893,67.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,greedy_10,2019-03-05_N12_C3_greedy_10_s0.json,0,0.21557560000110243,72.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,greedy_10,2019-03-05_N12_C3_greedy_10_s0.json,0,0.659471000000849,67.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r0.json,0,0.3050941999990755,76.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r0.json,0,0.31812929999978223,73.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r0.json,0,3.797506999999314,70.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r0.json,0,20.92112189999898,68.0,rmp_integer
