batch,instance,budget,completion_rows,checkpoint,method,runs,feasible,feasible_rate,median_all,median_conditional,reference_optimum
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,120.0,qaia_50_4,3,3,1.0,58.0,58.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,120.0,qaia_200_10,3,3,1.0,58.0,58.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,120.0,greedy_4,3,3,1.0,58.0,58.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,120.0,greedy_10,3,3,1.0,57.0,57.0,57.0
acn_scale_v4_grid,2019-03-07_N16_C4,120.0,vehicle,120.0,exact,3,3,1.0,58.0,58.0,57.0
acn_scale_v4_grid,2019-03-07_N20_C5,120.0,vehicle,1.0,compact,1,1,1.0,55.0,55.0,55.0
acn_scale_v4_grid,2019-03-07_N20_C5,120.0,vehicle,1.0,qaia_50_4,3,0,0.0,,,55.0
acn_scale_v4_grid,2019-03-07_N20_C5,120.0,vehicle,1.0,qaia_200_10,3,0,0.0,,,55.0
acn_scale_v4_grid,2019-03-07_N20_C5,120.0,vehicle,1.0,greedy_4,3,2,0.6666666666666666,,74.0,55.0
acn_scale_v4_grid,2019-03-07_N20_C5,120.0,vehicle,1.0,greedy_10,3,3,1.0,74.0,74.0,55.0
